model,metric,fp16_strict,nf4_strict,fp16_last_number,nf4_last_number,last_number_delta_nf4_minus_fp16,ci95_low,ci95_high
Qwen/Qwen2.5-3B-Instruct,individual_accuracy,0.5179999999999999,0.41,0.554,0.4506666666666667,-0.10333333333333333,-0.13266666666666665,-0.07466666666666666
Qwen/Qwen2.5-3B-Instruct,panel_accuracy,0.6233333333333333,0.5186666666666667,0.6396666666666667,0.5243333333333333,-0.11533333333333329,-0.16067500000000007,-0.07199999999999995
Qwen/Qwen2.5-3B-Instruct,beta_all_agents_wrong,0.2633333333333333,0.35333333333333333,0.23,0.3,0.06999999999999998,0.02999999999999997,0.11000000000000001
Qwen/Qwen2.5-3B-Instruct,kappa_same_wrong_given_all_wrong,0.012658227848101266,0.0,0.028985507246376812,0.0,-0.028985507246376812,-0.07576237054085155,0.0
Qwen/Qwen2.5-3B-Instruct,same_wrong_all_rate,0.0033333333333333335,0.0,0.006666666666666667,0.0,-0.006666666666666667,-0.016666666666666666,0.0
Qwen/Qwen2.5-3B-Instruct,agreement_brier,0.09253333333333336,0.09506666666666669,0.1204666666666667,0.13353333333333334,0.013066666666666671,-0.00466666666666668,0.03039999999999997
Qwen/Qwen2.5-3B-Instruct,agreement_aurc,0.10212637059033902,0.15800424148433526,0.11507997056084475,0.18540164282861574,0.07032167226777099,0.03738256437165633,0.10655961573150559
Qwen/Qwen2.5-3B-Instruct,invalid_answer_rate,0.41933333333333334,0.5439999999999999,0.0,0.0,0.0,0.0,0.0
microsoft/Phi-3.5-mini-instruct,individual_accuracy,0.3333333333333333,0.26466666666666666,0.5233333333333333,0.4826666666666667,-0.040666666666666684,-0.06666666666666665,-0.014666666666666717
microsoft/Phi-3.5-mini-instruct,panel_accuracy,0.47400000000000003,0.4106666666666667,0.58,0.5456666666666666,-0.03433333333333333,-0.07400833333333338,0.006008333333333214
microsoft/Phi-3.5-mini-instruct,beta_all_agents_wrong,0.4,0.45,0.2633333333333333,0.3,0.03666666666666668,-0.006666666666666654,0.08333333333333331
microsoft/Phi-3.5-mini-instruct,kappa_same_wrong_given_all_wrong,0.0,0.007407407407407408,0.02531645569620253,0.03333333333333333,0.008016877637130802,-0.043478260869565216,0.06
microsoft/Phi-3.5-mini-instruct,same_wrong_all_rate,0.0,0.0033333333333333335,0.006666666666666667,0.01,0.003333333333333333,-0.01,0.02
microsoft/Phi-3.5-mini-instruct,agreement_brier,0.11386666666666666,0.12626666666666667,0.13920000000000002,0.1620666666666667,0.022866666666666702,0.003599999999999992,0.042333333333333334
microsoft/Phi-3.5-mini-instruct,agreement_aurc,0.1967513865842084,0.26367315040451234,0.15647706604456432,0.19424268118781438,0.03776561514325005,0.005321806624829574,0.07134804683445596
microsoft/Phi-3.5-mini-instruct,invalid_answer_rate,0.6313333333333333,0.7060000000000001,0.0,0.0,0.0,0.0,0.0
